class,salary,bonus,long_term_incentive,deferred_income,deferral_payments,loan_advances,other,expenses,director_fees,total_payments,exercised_stock_options,restricted_stock,restricted_stock_deferred,total_stock_value,from_poi_to_this_person,shared_receipt_with_poi,to_messages,from_this_person_to_poi,from_messages
0,201955,4175000,304805,-3081055,2869717,0,152,13868,0,4484442,1729541,126027,-126027,1729541,47,1407,2902,65,2195
0,0,0,0,0,178980,0,0,3486,0,182466,257817,0,0,257817,0,0,0,0,0
0,477,0,0,-5104,0,0,864523,56301,0,916197,4046157,1757552,-560222,5243487,39,465,566,0,29
0,267102,1200000,1586055,-1386055,1295738,0,2660303,11200,0,5634343,6680544,3942714,0,10623258,0,0,0,0,0
0,239671,400000,0,-201641,260455,0,69,129142,0,827696,0,145796,-82782,63014,0,0,0,0,0
0,80818,0,93750,0,684694,0,874,0,0,860136,1599641,0,0,1599641,0,0,0,0,0
0,231330,700000,0,0,0,0,566,37172,0,969068,0,126027,0,126027,144,2639,7315,386,4343
1,213999,5249999,0,-2334434,2144013,0,210698,17355,0,5501630,953136,157569,0,1110705,228,5521,7991,108,484
0,0,0,0,0,-102500,3285,0,0,102500,3285,-44093,0,44093,0,0,0,0,0,0
0,216582,0,0,0,0,0,0,11892,0,228474,1624396,869220,0,2493616,0,0,0,0,0
0,187922,250000,180250,-485813,0,0,427316,59175,0,618850,0,659249,0,659249,4,233,383,0,59
0,0,0,0,0,0,137864,0,0,0,137864,-2604490,15456290,2604490,15456290,0,463,523,1,29
0,213625,1000000,369721,0,0,0,425688,38559,0,2047593,1465734,378082,0,1843816,23,1336,1607,8,40
0,248546,850000,831809,0,0,0,272,84208,0,2014835,765313,189041,0,954354,25,2326,2475,2,14
0,0,0,0,-113784,0,0,0,1279,113784,1279,0,0,0,0,0,0,0,0,0
1,278601,1350000,974293,-833,0,0,1621,65907,0,2669589,0,252055,0,252055,140,1593,1858,15,27
0,0,0,0,0,0,0,0,49288,0,49288,0,0,0,0,13,761,1486,1,41
0,248017,500000,304805,0,0,0,1215,600,0,1054637,825464,189041,0,1014505,0,23,1088,0,125
0,261516,750000,175000,-75000,0,0,150656,9410,0,1271582,0,417619,0,417619,0,0,0,0,0
0,330546,900000,769862,-694862,649584,0,400572,0,0,2355702,2542813,901657,0,3444470,156,2333,3523,71,1053
1,240189,1250000,375304,-262500,0,0,486,35818,0,1639297,0,126027,0,126027,199,2188,2598,25,144
0,261809,300000,75000,-159792,0,0,540,0,0,477557,0,307301,-307301,0,29,196,312,7,15
1,415189,1000000,350000,-235000,0,0,307895,30674,0,1868758,0,2502063,0,2502063,58,1585,1892,12,49
0,0,0,0,-98784,0,0,0,0,98784,0,0,32460,-32460,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5127155,950730,0,6077885,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,662086,-472568,189518,0,0,0,0,0
1,288542,1200000,0,-144062,27610,0,101740,16514,0,1490344,0,698242,0,698242,240,1132,1758,11,40
0,0,0,0,0,0,0,0,0,0,0,651850,386335,0,1038185,10,58,764,0,12
0,314288,800000,0,-41250,0,0,494,27861,0,1101393,117551,378082,0,495633,0,71,102,4,33
0,184899,325000,275000,0,0,0,713,22344,0,807956,0,207940,0,207940,0,0,0,0,0
0,206121,600000,335349,0,0,0,25553,41626,0,1208649,17378,141833,0,159211,115,552,714,4,74
1,365163,3000000,1294981,0,0,0,1661,86174,0,4747979,2291113,1323148,0,3614261,66,2097,3093,609,3069
0,492375,800000,484000,-1284000,0,0,7482,51124,0,550981,8831913,1787380,-1787380,8831913,64,1401,2181,20,909
0,210500,425000,415657,-775241,875307,0,1105,52255,0,1204583,2027865,315068,-315068,2027865,0,0,0,0,0
0,250100,600000,556416,0,0,0,473,3475,0,1410464,1550019,315068,0,1865087,305,1902,2572,14,63
0,262788,1000000,694862,0,0,0,374689,35812,0,2368151,8191755,126027,0,8317782,0,0,0,0,0
0,221003,70000,0,0,0,0,774,28164,0,319941,0,0,0,0,10,114,176,3,14
0,278601,800000,0,-300000,0,0,891,96268,0,875760,765920,315068,0,1080988,188,772,865,11,22
0,0,0,0,-25000,0,0,0,0,102492,77492,371750,0,0,371750,0,0,0,0,0
0,210692,750000,1105218,0,0,0,1568,25785,0,2093263,1451869,189041,0,1640910,106,599,904,3,12
0,182245,200000,2234774,0,0,0,53775,21530,0,2692324,601438,407503,0,1008941,0,0,0,0,0
0,170941,350000,0,-400729,0,0,12961,78552,0,211725,4890344,1788391,0,6678735,0,0,0,0,0
0,304588,2500000,374347,0,0,0,401481,95924,0,3676340,940257,1392142,0,2332399,42,1604,1755,37,75
1,440698,1300000,1736055,-1386055,0,0,277464,55921,0,2424083,0,1794412,0,1794412,0,0,0,0,0
0,199157,350000,556416,0,0,0,285414,23870,0,1414857,664461,956775,0,1621236,1,723,936,8,16
0,0,0,0,0,0,0,0,0,0,0,1324578,560170,0,1884748,0,10,517,0,36
0,0,0,0,0,181755,0,0,0,0,181755,343434,0,0,343434,0,2,57,0,13
0,1060932,2000000,1617011,-3367011,6426990,2000000,7427621,86987,0,17252530,10433518,4188667,0,14622185,242,2979,3275,6,21
0,0,0,0,0,50591,0,0,0,0,50591,176378,0,0,176378,0,0,0,0,0
0,192008,509870,0,-1042,73122,0,76547,50080,0,900585,83237,235370,0,318607,0,0,0,0,0
0,231946,850000,375304,0,0,0,60814,48405,0,1566469,636246,259907,0,896153,10,178,209,27,44
0,0,0,0,0,0,0,0,0,0,0,1753766,264013,-72419,1945360,0,0,0,0,0
0,0,0,461912,0,504610,0,0,0,0,966522,2218275,0,0,2218275,0,23,169,0,12
0,0,0,0,0,0,0,0,0,0,0,9803,75838,0,85641,0,0,0,0,0
1,274975,600000,71023,0,0,0,200308,125978,0,1272284,384728,393818,0,778546,52,874,873,6,16
0,272880,750000,304805,0,0,0,819288,0,0,2146973,436515,441096,0,877611,0,0,0,0,0
0,0,0,0,0,0,0,0,0,119292,119292,0,0,0,0,0,0,0,0,0
0,6615,0,365625,0,93585,0,680833,0,0,1146658,0,0,0,0,0,0,0,0,0
0,374125,1150000,983346,-934484,2157527,0,52382,76169,0,3859065,608750,524169,-329825,803094,180,1847,4009,61,1941
1,243293,1500000,1617011,-3117011,0,0,11350,34039,0,288682,5538001,853064,0,6391065,32,1035,1045,21,32
0,0,0,0,0,0,0,0,475,0,475,0,2217299,0,2217299,4,471,573,7,19
0,0,0,0,0,7961,0,0,0,0,7961,0,151418,0,151418,16,50,504,0,12
0,0,0,0,0,0,0,0,0,0,0,0,346663,0,346663,35,571,2649,38,1061
0,262663,700000,150000,-280000,0,0,416441,48357,0,1297461,187500,480632,0,668132,0,0,0,0,0
0,211788,1700000,69223,0,0,0,1936,98849,0,2081796,0,441096,0,441096,40,900,1320,1,27
1,0,0,0,0,10259,0,2856,77978,0,91093,30766064,0,0,30766064,0,0,0,0,0
0,0,0,0,0,3131860,0,0,0,0,3131860,5210569,2046079,0,7256648,44,1074,2350,15,1073
0,0,0,0,0,0,0,0,0,0,0,754966,363428,0,1118394,35,589,719,5,34
0,130724,0,0,0,2964506,0,0,4994,0,3100224,2282768,0,0,2282768,10,119,128,17,17
0,85274,0,312500,0,0,0,1553729,28093,0,1979596,2165172,3654808,0,5819980,28,437,496,5,19
0,288558,250000,0,0,0,0,2435,10181,0,551174,185063,540672,0,725735,25,117,258,19,56
0,0,0,0,-25000,0,0,0,0,108750,83750,431750,44093,-44093,431750,0,0,0,0,0
0,275101,400000,323466,0,0,0,4669,83585,0,1086821,850010,126027,0,976037,41,583,4607,171,14368
0,404338,1000000,300000,0,0,0,1231,41953,0,1747522,2022048,4131594,0,6153642,140,3639,12754,387,6759
0,174246,0,0,-51042,0,0,465357,116335,0,704896,0,1034346,0,1034346,0,0,0,0,0
0,271442,3100000,0,0,0,0,93925,5774,0,3471141,81042,466101,0,547143,251,3669,8305,194,1728
1,309946,700000,300000,0,0,0,150458,127017,0,1587421,671737,1248318,0,1920055,53,2271,2374,15,61
1,224305,800000,602671,0,0,0,907502,118134,0,2652612,0,985032,0,985032,0,0,0,0,0
0,339288,8000000,2035380,0,0,0,1552,49537,0,10425757,4158995,1008149,0,5167144,528,3962,7259,411,2585
1,1072321,7000000,3600000,-300000,202911,81525000,10359729,99832,0,103559793,34348384,14761694,0,49110078,123,2411,4273,16,36
0,273746,1000000,1387399,0,0,0,3083,0,0,2664228,0,360528,0,360528,67,2672,2822,14,63
0,0,0,0,-25000,0,0,0,0,112492,87492,412878,0,0,412878,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,850477,0,0,850477,10,739,952,0,26
0,236457,200000,175000,0,204075,0,2630,57727,0,875889,2549361,514847,0,3064208,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,372205,153686,-153686,372205,0,0,0,0,0
0,349487,0,5145434,0,85430,0,2818454,8211,0,8407016,2070306,0,0,2070306,8,477,1522,0,230
0,0,0,0,0,0,0,0,0,0,0,664375,94556,0,758931,25,508,1433,2,215
0,263413,900000,0,-125000,0,0,51587,228763,0,1318763,506765,441096,0,947861,52,1469,1744,0,49
0,365038,1100000,554422,0,0,0,540,81364,0,2101364,1623010,1478269,0,3101279,92,2189,3329,194,2742
0,0,0,0,0,0,0,0,0,0,0,757301,934065,0,1691366,54,720,894,1,13
0,370448,2600000,694862,0,0,0,297353,137108,0,4099771,1104054,558801,0,1662855,58,2228,2355,26,48
0,0,0,0,-103750,0,0,0,148,103750,148,0,0,0,0,0,0,0,0,0
0,365788,600000,0,0,0,0,1740,94299,0,1061827,0,585062,0,585062,38,702,807,1,29
0,0,0,0,-38346,0,0,0,2151,38346,2151,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1848227,0,0,0,0,1848227,493489,462384,0,955873,0,22,232,0,28
0,0,0,0,0,0,0,0,0,0,0,59539,161602,0,221141,0,127,672,0,19
0,267093,325000,0,0,0,0,1411,35018,0,628522,0,208510,0,208510,0,0,0,0,0
0,251654,1100000,1725545,-719000,842924,0,947,0,0,3202070,1056320,360528,0,1416848,12,114,136,0,16
0,229284,400000,125000,0,0,0,330,57580,0,812194,400478,196983,0,597461,11,395,2192,2,45
0,0,0,0,0,774401,0,0,0,0,774401,0,463261,-94556,368705,0,0,0,0,0
0,329078,750000,100000,0,77716,0,972,63791,0,1321557,1637034,969729,0,2606763,20,856,1184,15,52
0,94941,0,135836,0,0,0,176,18834,0,249787,5266578,2041016,0,7307594,0,0,0,0,0
0,261879,1000000,0,0,0,0,1829457,32047,0,3123383,15364167,8453763,0,23817930,0,0,0,0,0
0,0,0,0,-101250,0,0,0,27942,101250,27942,0,0,0,0,0,0,0,0,0
0,655037,300000,0,0,0,400000,0,31653,0,1386690,28798,0,0,28798,7,728,898,0,67
0,197091,400000,0,-33333,1130036,0,778,43057,0,1737629,880290,409554,-409554,880290,61,742,1238,48,222
0,0,0,0,0,0,0,0,0,0,0,0,47304,0,47304,0,3,58,1,16
0,0,0,0,-17500,0,0,0,0,17500,0,0,0,0,0,0,12,653,0,26
0,0,0,0,0,564348,0,0,0,0,564348,886231,208809,0,1095040,0,0,0,0,0
0,96840,0,0,0,0,0,0,14689,0,111529,7509039,381285,0,7890324,204,1063,1671,49,221
0,76399,100000,156250,-200000,51365,0,202052,8409,0,394475,4160672,201483,-140264,4221891,0,0,0,0,0
1,420636,1750000,1617011,-3504386,0,0,174839,46950,0,505050,19794175,2748364,0,22542539,42,864,905,4,18
1,249201,700000,0,-100000,214678,0,1950,33271,0,1099100,1635238,283649,0,1918887,35,1258,1328,48,82
0,0,0,0,-121284,0,0,0,0,125034,3750,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,759557,0,0,759557,0,0,0,0,0
0,304110,2000000,554422,0,0,0,1191,178979,0,3038702,1441898,630137,0,2072035,94,1730,3221,83,2681
0,269076,650000,0,0,0,0,705,137767,0,1057548,607837,379164,0,987001,74,4527,15149,65,1215
0,248146,600000,422158,0,187469,0,2401,116337,0,1576511,281073,213063,0,494136,24,2477,3136,6,136
1,211844,200000,0,-4167,0,0,1573324,22884,0,2003885,1624396,869220,0,2493616,13,91,225,14,39
0,0,0,0,0,0,0,0,0,0,0,1426469,405999,0,1832468,39,583,613,18,25
0,428780,1500000,554422,0,0,0,1852186,0,0,4335388,1835558,1293424,0,3128982,28,2103,3187,23,92
1,1111258,5600000,1920000,0,0,0,22122,29336,0,8682716,19250000,6843672,0,26093672,88,2042,3627,30,108
0,239502,500000,0,0,0,0,356071,16514,0,1112087,0,511734,0,511734,0,0,0,0,0
0,162779,100000,554422,0,181993,0,162,0,0,999356,1362375,0,0,1362375,0,0,0,0,0
0,257486,700000,476451,0,0,0,111122,0,0,1545059,0,698920,0,698920,37,2565,2647,13,38
0,265214,600000,0,0,227449,0,0,0,0,1092663,3181250,563798,0,3745048,0,300,533,0,29
0,0,0,0,0,0,0,362096,0,0,362096,0,0,0,0,0,0,0,0,0
0,222093,0,200000,0,16586,0,426629,46145,0,911453,4452476,365320,0,4817796,0,73,266,0,41
0,247338,300000,275000,-575000,0,0,152055,0,0,399393,591250,576792,0,1168042,10,379,460,11,19
0,288589,788750,0,0,0,0,0,53122,0,1130461,0,0,0,0,12,41,111,0,18
0,0,0,0,-36666,0,0,0,228656,36666,228656,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,103773,109298,213071,0,0,0,0,0,0,0,0,0
0,357091,850000,540751,0,0,0,2,50936,0,1798780,4346544,1552453,0,5898997,17,215,671,0,146
0,0,0,0,0,53625,0,0,33785,0,87410,1030329,0,0,1030329,0,0,0,0,0
0,259996,325000,200000,-583325,831299,0,1425,0,0,1034395,1668260,388167,0,2056427,22,337,400,7,30
0,63744,0,256191,-10800,0,0,401130,51870,0,762135,0,384930,0,384930,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,98718,0,0,98718,0,0,0,0,0
0,510364,3000000,808346,0,0,0,301026,57838,0,4677574,3282960,2796177,0,6079137,186,3920,6019,24,556
0,317543,450000,0,0,0,0,1085463,81353,0,1934359,1297049,13847074,0,15144123,0,0,0,0,0
0,0,0,0,-25000,0,0,0,1413,108579,84992,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,189583,0,0,189583,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,139130,0,0,139130,0,0,0,0,0
1,158403,0,0,0,0,0,147950,53947,0,360300,8308552,3576206,0,11884758,0,0,0,0,0
0,0,0,0,0,0,0,0,55097,0,55097,192758,0,0,192758,0,0,0,0,0
